date,amount,currency,reference
2026-07-11,90.30,USD,AMZN SETTLEMENT 1001
2026-07-13,153.50,USD,AMZN SETTLEMENT 1002
2026-07-15,56.95,USD,AMZN SETTLEMENT 1003
2026-07-17,111.00,USD,AMZN SETTLEMENT 1004
2026-07-12,69.40,USD,SHOPIFY PAYOUT 2001
2026-07-14,121.64,USD,SHOPIFY PAYOUT 2002
2026-07-16,90.80,EUR,SHOPIFY PAYOUT 2003
2026-07-18,120.00,USD,SHOPIFY PAYOUT 2004
2026-07-20,53.46,USD,SHOPIFY PAYOUT 2005
2026-07-11,43.00,USD,TIKTOK SETTLE 3001
2026-07-13,77.50,EUR,TIKTOK SETTLE 3002
2026-07-15,95.00,USD,TIKTOK SETTLE 3003
2026-07-17,175.00,USD,TIKTOK SETTLE 3004
2026-07-19,60.40,USD,TIKTOK SETTLE 3005
